#TYPE System.Management.Automation.PSCustomObject
"Port","Protocol","H1","Description","Status"
"","","","administration",""
"4172","TCP","UDP","Teradici PCoIP","Port is officialy registered by IANA for this application"
"4201","TCP","","TinyMUD and various derivatives","Port is not officialy registered by IANA for this application"
"4226","TCP","UDP","Aleph One (game)","Port is not officialy registered by IANA for this application"
"4224","TCP","","Cisco Audio Session Tunneling","Port is not officialy registered by IANA for this application"
"4321","TCP","","Referral Whois (RWhois) Protocol","Port is officialy registered by IANA for this application"
"","","","51",""
"4323","","UDP","Lincoln Electric?s ArcLink/XT","Port is not officialy registered by IANA for this application"
"4433-4436","TCP","","Axence nVision","Port is not officialy registered by IANA for this application"
"4500","","UDP","IPSec NAT Traversal (RFC 3947)","Port is officialy registered by IANA for this application"
"4502-4534","TCP","","Microsoft Silverlight","Port is officialy registered by IANA for this application"
"","","","connectable ports under non-elevated trust",""
"4534","","UDP","Armagetron Advanced default","Port is not officialy registered by IANA for this application"
"","","","server port",""
"4567","TCP","","Sinatra default server port in","Port is not officialy registered by IANA for this application"
"","","","development mode (HTTP)",""
"4569","","UDP","Inter-Asterisk eXchange (IAX2)","Port is officialy registered by IANA for this application"
"4610?4640","TCP","","QualiSystems TestShell Suite","Port is not officialy registered by IANA for this application"
"","","","Services",""
"4662","","UDP","OrbitNet Message Service","Port is officialy registered by IANA for this application"
"4662","TCP","","OrbitNet Message Service","Port is officialy registered by IANA for this application"
"4662","TCP","","Default for older versions of","Port is not officialy registered by IANA for this application"
"","","","eMule 52",""
"4664","TCP","","Google Desktop Search","Port is not officialy registered by IANA for this application"
"4672","","UDP","Default for older versions of","Port is not officialy registered by IANA for this application"
"","","","eMule 52",""
"4711","TCP","","eMule optional web interface","Port is not officialy registered by IANA for this application"
"","","","52",""
"4711","TCP","","McAfee Web Gateway 7 ? Default","Port is not officialy registered by IANA for this application"
"","","","GUI Port HTTP",""
"4712","TCP","","McAfee Web Gateway 7 ? Default","Port is not officialy registered by IANA for this application"
"","","","GUI Port HTTPS",""
"4728","TCP","","Computer Associates Desktop and","Port is officialy registered by IANA for this application"
"","","","Server Management (DMP)/Port Multiplexer",""
"","","","53",""
"4747","TCP","","Apprentice","Port is not officialy registered by IANA for this application"
"4750","TCP","","BladeLogic Agent","Port is not officialy registered by IANA for this application"
"4840","TCP","UDP","OPC UA TCP Protocol for OPC","Port is officialy registered by IANA for this application"
"","","","Unified Architecture from OPC Foundation",""
"4843","TCP","UDP","OPC UA TCP Protocol over TLS/SSL","Port is officialy registered by IANA for this application"
"","","","for OPC Unified Architecture from OPC Foundation",""
"4847","TCP","UDP","Web Fresh Communication,","Port is officialy registered by IANA for this application"
"","","","Quadrion Software & Odorless Entertainment",""
"4886","TCP","","War of No Return Server Port","Port is not officialy registered by IANA for this application"
"4894","TCP","UDP","LysKOM Protocol A","Port is officialy registered by IANA for this application"
"4899","TCP","UDP","Radmin remote administration","Port is officialy registered by IANA for this application"
"","","","tool",""
"4949","TCP","","Munin Resource Monitoring Tool","Port is officialy registered by IANA for this application"
"4950","TCP","UDP","Cylon Controls UC32","Port is officialy registered by IANA for this application"
"","","","Communications Port",""
"4982","TCP","UDP","Solar Data Log (JK client app","Port is not officialy registered by IANA for this application"
"","","","for PV solar inverters )",""
"4993","TCP","UDP","Home FTP Server web Interface","Port is not officialy registered by IANA for this application"
"","","","Default Port",""
"","","","",""
"5000","TCP","","commplex-main","Port is officialy registered by IANA for this application"
"5000","TCP","","UPnP?Windows network","Port is not officialy registered by IANA for this application"
"","","","device interoperability",""
"5000","TCP","","VTun?VPN Software","Port is not officialy registered by IANA for this application"
"5000","","UDP","FlightGear multiplayer 54","Port is not officialy registered by IANA for this application"
"5000","","UDP","VTun?VPN Software","Port is not officialy registered by IANA for this application"
"5001","TCP","","commplex-link","Port is officialy registered by IANA for this application"
"5001","TCP","","Slingbox and Slingplayer","Port is not officialy registered by IANA for this application"
"5001","TCP","","Iperf (Tool for measuring TCP","Port is not officialy registered by IANA for this application"
"","","","and UDP bandwidth performance)",""
"5001","","UDP","Iperf (Tool for measuring TCP","Port is not officialy registered by IANA for this application"
"","","","and UDP bandwidth performance)",""
"5002","TCP","","SOLICARD ARX 55","Port is not officialy registered by IANA for this application"
"5003","TCP","UDP","FileMaker","Port is officialy registered by IANA for this application"
"5004","TCP","UDP","RTP (Real-time Transport","Port is officialy registered by IANA for this application"
"","","","Protocol) media data (RFC 3551, RFC 4571)",""
"5004","DCCP","","RTP (Real-time Transport","Port is officialy registered by IANA for this application"
"","","","Protocol) media data (RFC 3551, RFC 4571)",""
"5005","TCP","UDP","RTP (Real-time Transport","Port is officialy registered by IANA for this application"
"","","","Protocol) control protocol (RFC 3551, RFC 4571)",""
"5005","DCCP","","RTP (Real-time Transport","Port is officialy registered by IANA for this application"
"","","","Protocol) control protocol (RFC 3551, RFC 4571)",""
"5029","TCP","","Sonic Robo Blast 2 : Multiplayer","Port is not officialy registered by IANA for this application"
"5031","TCP","UDP","AVM CAPI-over-TCP (ISDN over","Port is not officialy registered by IANA for this application"
"","","","Ethernet tunneling)",""
"5050","TCP","","Yahoo! Messenger","Port is not officialy registered by IANA for this application"
"5051","TCP","","ita-agent Symantec Intruder","Port is officialy registered by IANA for this application"
"","","","Alert 56",""
"5060","TCP","UDP","Session Initiation Protocol","Port is officialy registered by IANA for this application"
"","","","(SIP)",""
"5061","TCP","","Session Initiation Protocol","Port is officialy registered by IANA for this application"
"","","","(SIP) over TLS",""
"5070","TCP","","Binary Floor Control Protocol","Port is not officialy registered by IANA for this application"
"","","","(BFCP), 57 published as RFC 4582,",""
"","","","is a protocol that allows for an additional video channel (known as the",""
"","","","content channel) alongside the main video channel in a video-conferencing call",""
"","","","that uses SIP. Also used for Session Initiation Protocol (SIP) preferred port",""
"","","","for PUBLISH on SIP Trunk to Cisco Unified Presence Server (CUPS)",""
"5082","TCP","UDP","Qpur Communication Protocol","Port is officialy registered by IANA for this application"
"5083","TCP","UDP","Qpur File Protocol","Port is officialy registered by IANA for this application"
"5084","TCP","UDP","EPCglobal Low Level Reader","Port is officialy registered by IANA for this application"
"","","","Protocol (LLRP)",""
"5085","TCP","UDP","EPCglobal Low Level Reader","Port is officialy registered by IANA for this application"
"","","","Protocol (LLRP) over TLS",""
"5093","","UDP","SafeNet, Inc Sentinel LM,","Port is officialy registered by IANA for this application"
"","","","Sentinel RMS, License Manager, Client-to-Server",""
"5099","TCP","UDP","SafeNet, Inc Sentinel LM,","Port is officialy registered by IANA for this application"
"","","","Sentinel RMS, License Manager, Server-to-Server",""
"5104","TCP","","IBM Tivoli Framework","Port is not officialy registered by IANA for this application"
"","","","NetCOOL/Impact 58 HTTP Service",""
"5106","TCP","","A-Talk Common connection","Port is not officialy registered by IANA for this application"
"5107","TCP","","A-Talk Remote server connection","Port is not officialy registered by IANA for this application"
"5108","TCP","","VPOP3 Mail Server Webmail","Port is not officialy registered by IANA for this application"
"5109","TCP","UDP","VPOP3 Mail Server Status","Port is not officialy registered by IANA for this application"
"5110","TCP","","ProRat Server","Port is not officialy registered by IANA for this application"
"5121","TCP","","Neverwinter Nights","Port is not officialy registered by IANA for this application"
"5150","TCP","UDP","ATMP Ascend Tunnel Management","Port is officialy registered by IANA for this application"
"","","","Protocol 59",""
"5150","TCP","UDP","Malware Cerberus RAT","Port is not officialy registered by IANA for this application"
"5151","TCP","","ESRI SDE Instance","Port is officialy registered by IANA for this application"
"5151","","UDP","ESRI SDE Remote Start","Port is officialy registered by IANA for this application"
"5154","TCP","UDP","BZFlag","Port is officialy registered by IANA for this application"
"5176","TCP","","ConsoleWorks default UI","Port is not officialy registered by IANA for this application"
"","","","interface",""
"5190","TCP","","ICQ and AOL Instant Messenger","Port is officialy registered by IANA for this application"
"5222","TCP","","Extensible Messaging and","Port is officialy registered by IANA for this application"
"","","","Presence Protocol (XMPP) client connection 60 61",""
"5223","TCP","","Extensible Messaging and","Port is not officialy registered by IANA for this application"
"","","","Presence Protocol (XMPP) client connection over SSL",""
"5228","TCP","","HP Virtual Room Service","Port is officialy registered by IANA for this application"
"5228","TCP","","Android Market","Port is not officialy registered by IANA for this application"
"5246","","UDP","Control And Provisioning of","Port is officialy registered by IANA for this application"
"","","","Wireless Access Points (CAPWAP) CAPWAP control 62",""
"5247","","UDP","Control And Provisioning of","Port is officialy registered by IANA for this application"
"","","","Wireless Access Points (CAPWAP) CAPWAP data 62",""
"5269","TCP","","Extensible Messaging and","Port is officialy registered by IANA for this application"
"","","","Presence Protocol (XMPP) server connection 60 61",""
"5280","TCP","","Extensible Messaging and","Port is officialy registered by IANA for this application"
"","","","Presence Protocol (XMPP) XEP-0124: Bidirectional-streams Over Synchronous",""
"","","","HTTP (BOSH)",""
"5281","TCP","","Undo License Manager","Port is officialy registered by IANA for this application"
"5281","TCP","","Extensible Messaging and","Port is not officialy registered by IANA for this application"
"","","","Presence Protocol (XMPP) XEP-0124: Bidirectional-streams Over Synchronous",""
"","","","HTTP (BOSH) with SSL",""
"5298","TCP","UDP","Extensible Messaging and","Port is officialy registered by IANA for this application"
"","","","Presence Protocol (XMPP) XEP-0174: Serverless Messaging",""
"5310","TCP","UDP","Ginever.net data communication","Port is not officialy registered by IANA for this application"
"","","","port",""
"5311","TCP","UDP","Ginever.net data communication","Port is not officialy registered by IANA for this application"
"","","","port",""
"5312","TCP","UDP","Ginever.net data communication","Port is not officialy registered by IANA for this application"
"","","","port",""
"5313","TCP","UDP","Ginever.net data communication","Port is not officialy registered by IANA for this application"
"","","","port",""
"5314","TCP","UDP","Ginever.net data communication","Port is not officialy registered by IANA for this application"
"","","","port",""
"5315","TCP","UDP","Ginever.net data communication","Port is not officialy registered by IANA for this application"
"","","","port",""
"5349","TCP","","STUN, a protocol for NAT","Port is officialy registered by IANA for this application"
"","","","traversal (UDP is reserved) 47",""
"5349","TCP","","TURN, a protocol for NAT","Port is officialy registered by IANA for this application"
"","","","traversal (UDP is reserved) 48",""
"5351","TCP","UDP","NAT Port Mapping","Port is officialy registered by IANA for this application"
"","","","Protocol?client-requested configuration for inbound connections through",""
"","","","network address translators",""
"5353","","UDP","Multicast DNS (mDNS)","Port is officialy registered by IANA for this application"
"5355","TCP","UDP","LLMNR?Link-Local Multicast","Port is officialy registered by IANA for this application"
"","","","Name Resolution, allows hosts to perform name resolution for hosts on the",""
"","","","same local link (only provided by Windows Vista and Server 2008)",""
"5357","TCP","UDP","Web Services for Devices","Port is not officialy registered by IANA for this application"
"","","","(WSDAPI) (only provided by Windows Vista, Windows 7 and Server 2008)",""
"5358","TCP","UDP","WSDAPI Applications to Use a","Port is not officialy registered by IANA for this application"
"","","","Secure Channel (only provided by Windows Vista, Windows 7 and Server 2008)",""
"5402","TCP","UDP","mftp, Stratacache OmniCast","Port is officialy registered by IANA for this application"
"","","","content delivery system MFTP file sharing protocol",""
"5405","TCP","UDP","NetSupport Manager","Port is officialy registered by IANA for this application"
"5412","TCP","UDP","IBM Rational Synergy","Port is officialy registered by IANA for this application"
"","","","(Telelogic_Synergy) (Continuus CM) Message Router",""
"5421","TCP","UDP","NetSupport Manager","Port is officialy registered by IANA for this application"
"5432","TCP","UDP","PostgreSQL database system","Port is officialy registered by IANA for this application"
"5433","TCP","","Bouwsoft file/webserver","Port is not officialy registered by IANA for this application"
"","","","<http://www.bouwsoft.be>",""
"5445","","UDP","Cisco Unified Video Advantage","Port is not officialy registered by IANA for this application"
"5450","TCP","","OSIsoft PI Server Client Access","Port is not officialy registered by IANA for this application"
"5457","TCP","","OSIsoft PI Asset Framework","Port is not officialy registered by IANA for this application"
"","","","Client Access",""
"5458","TCP","","OSIsoft PI Notifications Client","Port is not officialy registered by IANA for this application"
"","","","Access",""
"5495","TCP","","Applix TM1 Admin server","Port is not officialy registered by IANA for this application"
"5498","TCP","","Hotline tracker server","Port is not officialy registered by IANA for this application"
"","","","connection",""
"5499","","UDP","Hotline tracker server discovery","Port is not officialy registered by IANA for this application"
"5500","TCP","","VNC remote desktop","Port is not officialy registered by IANA for this application"
"","","","protocol?for incoming listening viewer, Hotline control connection",""
"5501","TCP","","Hotline file transfer connection","Port is not officialy registered by IANA for this application"
"5517","TCP","","Setiqueue Proxy server client","Port is not officialy registered by IANA for this application"
"","","","for SETI@Home project",""
"5550","TCP","","Hewlett-Packard Data Protector","Port is not officialy registered by IANA for this application"
"5555","TCP","","Freeciv versions up to 2.0,","Port is not officialy registered by IANA for this application"
"","","","Hewlett-Packard Data Protector, McAfee EndPoint Encryption Database Server,",""
"","","","SAP, Default for Microsoft Dynamics CRM 4.0",""
"5556","TCP","UDP","Freeciv","Port is officialy registered by IANA for this application"
"5591","TCP","","Default for Tidal Enterprise","Port is not officialy registered by IANA for this application"
"","","","Scheduler master-Socket used for communication between Agent-to-Master,",""
"","","","though can be changed",""
"5631","TCP","","pcANYWHEREdata, Symantec","Port is officialy registered by IANA for this application"
"","","","pcAnywhere (version 7.52 and later 63 ) 64 data",""
"5632","","UDP","pcANYWHEREstat, Symantec","Port is officialy registered by IANA for this application"
"","","","pcAnywhere (version 7.52 and later) status",""
"5656","TCP","","IBM Sametime p2p file transfer","Port is not officialy registered by IANA for this application"
"5666","TCP","","NRPE (Nagios)","Port is not officialy registered by IANA for this application"
"5667","TCP","","NSCA (Nagios)","Port is not officialy registered by IANA for this application"
"5678","","UDP","Mikrotik RouterOS Neighbor","Port is not officialy registered by IANA for this application"
"","","","Discovery Protocol (MNDP)",""
"5721","TCP","UDP","Kaseya","Port is not officialy registered by IANA for this application"
"5723","TCP","","Operations Manager","Port is not officialy registered by IANA for this application"
"5741","TCP","UDP","IDA Discover Port 1","Port is officialy registered by IANA for this application"
"5742","TCP","UDP","IDA Discover Port 2","Port is officialy registered by IANA for this application"
"5800","TCP","","VNC remote desktop","Port is not officialy registered by IANA for this application"
"","","","protocol?for use over HTTP",""
"5814","TCP","UDP","Hewlett-Packard Support","Port is officialy registered by IANA for this application"
"","","","Automation (HP OpenView Self-Healing Services)",""
"5850","TCP","","COMIT SE (PCR)","Port is not officialy registered by IANA for this application"
"5852","TCP","","Adeona client: communications to","Port is not officialy registered by IANA for this application"
"","","","OpenDHT",""
"5900","TCP","UDP","Virtual Network Computing (VNC)","Port is officialy registered by IANA for this application"
"","","","remote desktop protocol (used by Apple Remote Desktop and others)",""
"5912","TCP","","Default for Tidal Enterprise","Port is not officialy registered by IANA for this application"
"","","","Scheduler agent-Socket used for communication between Master-to-Agent, though",""
"","","","can be changed",""
"5938","TCP","UDP","TeamViewer 65 remote desktop protocol","Port is not officialy registered by IANA for this application"
"5984","TCP","UDP","CouchDB database server","Port is officialy registered by IANA for this application"
"5999","TCP","","CVSup 66 file update tool","Port is officialy registered by IANA for this application"
"6000","TCP","","X11?used between an X","Port is officialy registered by IANA for this application"
"","","","client and server over the network",""
"6001","","UDP","X11?used between an X","Port is officialy registered by IANA for this application"
"","","","client and server over the network",""
"6005","TCP","","Default for BMC Software","Port is officialy registered by IANA for this application"
"","","","Control-M/Server?Socket used for communication between Control-M",""
"","","","processes?though often changed during installation",""
"6005","TCP","","Default for Camfrog Chat &","Port is not officialy registered by IANA for this application"
"","","","Cam Client http://www.camfrog.com",""
"6050","TCP","","Brightstor Arcserve Backup","Port is not officialy registered by IANA for this application"
"6050","TCP","","Nortel Software","Port is not officialy registered by IANA for this application"
"6051","TCP","","Brightstor Arcserve Backup","Port is not officialy registered by IANA for this application"
"6072","TCP","","iOperator Protocol Signal Port","Port is not officialy registered by IANA for this application"
"6086","TCP","","PDTP?FTP like file server","Port is officialy registered by IANA for this application"
"","","","in a P2P network",""
"6100","TCP","","Vizrt System","Port is not officialy registered by IANA for this application"
"6100","TCP","","Ventrilo This is the","Port is officialy registered by IANA for this application"
"","","","authentication port that must be allowed outbound for version 3 of Ventrilo",""
"6101","TCP","","Backup Exec Agent Browser","Port is not officialy registered by IANA for this application"
"6110","TCP","UDP","softcm, HP Softbench CM","Port is officialy registered by IANA for this application"
"6111","TCP","UDP","spc, HP Softbench Sub-Process","Port is officialy registered by IANA for this application"
"","","","Control",""
"6112","","UDP","dtspcd?a network daemon","Port is officialy registered by IANA for this application"
"","","","that accepts requests from clients to execute commands and launch",""
"","","","applications remotely",""
"6112","TCP","","dtspcd?a network daemon","Port is officialy registered by IANA for this application"
"","","","that accepts requests from clients to execute commands and launch",""
"","","","applications remotely",""
"6112","TCP","","Blizzard?s Battle.net gaming","Port is not officialy registered by IANA for this application"
"","","","service, ArenaNet gaming service, Relic gaming sercive",""
"6112","TCP","","Club Penguin Disney online game","Port is not officialy registered by IANA for this application"
"","","","for kids",""
"6113","TCP","","Club Penguin Disney online game","Port is not officialy registered by IANA for this application"
"","","","for kids",""
"6129","TCP","","DameWare Remote Control","Port is officialy registered by IANA for this application"
"6257","","UDP","WinMX (see also 6699)","Port is not officialy registered by IANA for this application"
"6260","TCP","UDP","planet M.U.L.E.","Port is not officialy registered by IANA for this application"
"6262","TCP","","Sybase Advantage Database Server","Port is not officialy registered by IANA for this application"
"6343","","UDP","SFlow, sFlow traffic monitoring","Port is officialy registered by IANA for this application"
"6346","TCP","UDP","gnutella-svc, gnutella","Port is officialy registered by IANA for this application"
"","","","(FrostWire, Limewire, Shareaza, etc.)",""
"6347","TCP","UDP","gnutella-rtr, Gnutella alternate","Port is officialy registered by IANA for this application"
"6350","TCP","UDP","App Discovery and Access","Port is officialy registered by IANA for this application"
"","","","Protocol",""
"6389","TCP","","EMC CLARiiON","Port is not officialy registered by IANA for this application"
"6432","TCP","","PgBouncer ? A connection pooler","Port is officialy registered by IANA for this application"
"","","","for PostgreSQL",""
"6444","TCP","UDP","Sun Grid Engine?Qmaster","Port is officialy registered by IANA for this application"
"","","","Service",""
"6445","TCP","UDP","Sun Grid Engine?Execution","Port is officialy registered by IANA for this application"
"","","","Service",""
"6502","TCP","UDP","Netop Business Solutions ? NetOp","Port is not officialy registered by IANA for this application"
"","","","Remote Control",""
"6503","","UDP","Netop Business Solutions ? NetOp","Port is not officialy registered by IANA for this application"
"","","","School",""
"6522","TCP","","Gobby (and other libobby-based","Port is not officialy registered by IANA for this application"
"","","","software)",""
"6523","TCP","","Gobby 0.5 (and other","Port is not officialy registered by IANA for this application"
"","","","libinfinity-based software)",""
"6543","","UDP","Paradigm Research &","Port is not officialy registered by IANA for this application"
"","","","Development Jetnet 67 default",""
"6566","TCP","","SANE (Scanner Access Now","Port is not officialy registered by IANA for this application"
"","","","Easy)?SANE network scanner daemon",""
"6571","","","Windows Live FolderShare client","Port is not officialy registered by IANA for this application"
"6600","TCP","","Music Playing Daemon (MPD)","Port is not officialy registered by IANA for this application"
"6619","TCP","UDP","odette-ftps, Odette File","Port is officialy registered by IANA for this application"
"","","","Transfer Protocol (OFTP) over TLS/SSL",""
"6646","","UDP","McAfee Network Agent","Port is not officialy registered by IANA for this application"
"6660?6664","TCP","","Internet Relay Chat (IRC)","Port is not officialy registered by IANA for this application"
"6665?6669","TCP","","Internet Relay Chat (IRC)","Port is officialy registered by IANA for this application"
"6679","TCP","UDP","Osorno Automation Protocol","Port is officialy registered by IANA for this application"
"","","","(OSAUT)",""
"6679","TCP","","IRC SSL (Secure Internet Relay","Port is not officialy registered by IANA for this application"
"","","","Chat)?often used",""
"6697","TCP","","IRC SSL (Secure Internet Relay","Port is not officialy registered by IANA for this application"
"","","","Chat)?often used",""
"6699","TCP","","WinMX (see also 6257)","Port is not officialy registered by IANA for this application"
"6702","TCP","","Default for Tidal Enterprise","Port is not officialy registered by IANA for this application"
"","","","Scheduler client-Socket used for communication between Client-to-Master,",""
"","","","though can be changed",""
"6771","","UDP","Polycom server broadcast","Port is not officialy registered by IANA for this application"
"6789","TCP","","Datalogger Support Software","Port is not officialy registered by IANA for this application"
"","","","Campbell Scientific Loggernet Software",""
"6881?6887","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"6888","TCP","UDP","MUSE","Port is officialy registered by IANA for this application"
"6888","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"6889?6890","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"6891?6900","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"6891?6900","TCP","UDP","Windows Live Messenger (File","Port is not officialy registered by IANA for this application"
"","","","transfer)",""
"6901","TCP","UDP","Windows Live Messenger (Voice)","Port is not officialy registered by IANA for this application"
"6901","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"6902?6968","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"6969","TCP","UDP","acmsoda","Port is officialy registered by IANA for this application"
"6969","TCP","","BitTorrent tracker","Port is not officialy registered by IANA for this application"
"6970?6999","TCP","UDP","BitTorrent part of full range of","Port is not officialy registered by IANA for this application"
"","","","ports used most often",""
"7000","TCP","","Default for Vuze?s built in","Port is not officialy registered by IANA for this application"
"","","","HTTPS Bittorrent Tracker",""
"7001","TCP","","Default for BEA WebLogic","Port is not officialy registered by IANA for this application"
"","","","Server?s HTTP server, though often changed during installation",""
"7002","TCP","","Default for BEA WebLogic","Port is not officialy registered by IANA for this application"
"","","","Server?s HTTPS server, though often changed during installation",""
"7005","TCP","","Default for BMC Software","Port is not officialy registered by IANA for this application"
"","","","Control-M/Server and Control-M/Agent for Agent-to-Server, though often",""
"","","","changed during installation",""
"7006","TCP","","Default for BMC Software","Port is not officialy registered by IANA for this application"
"","","","Control-M/Server and Control-M/Agent for Server-to-Agent, though often",""
"","","","changed during installation",""
"7010","TCP","","Default for Cisco AON AMC (AON","Port is not officialy registered by IANA for this application"
"","","","Management Console) 68",""
"7022","TCP","","Database mirroring endpoints","Port is not officialy registered by IANA for this application"
"7023","","UDP","Bryan Wilcutt T2-NMCS Protocol","Port is officialy registered by IANA for this application"
"","","","for SatCom Modems",""
"7025","TCP","","Zimbra LMTP mailbox ?local mail delivery","Port is not officialy registered by IANA for this application"
"7047","TCP","","Zimbra conversion server","Port is not officialy registered by IANA for this application"
"7133","TCP","","Enemy Territory: Quake Wars","Port is not officialy registered by IANA for this application"
"7144","TCP","","Peercast","Port is not officialy registered by IANA for this application"
"7145","TCP","","Peercast","Port is not officialy registered by IANA for this application"
"7171","TCP","","Tibia","Port is not officialy registered by IANA for this application"
"7306","TCP","","Zimbra mysql mailbox","Port is not officialy registered by IANA for this application"
"7307","TCP","","Zimbra mysql logger","Port is not officialy registered by IANA for this application"
"7312","","UDP","Sibelius License Server","Port is not officialy registered by IANA for this application"
"7400","TCP","UDP","RTPS (Real Time Publish","Port is officialy registered by IANA for this application"
"","","","Subscribe) DDS Discovery",""
"7401","TCP","UDP","RTPS (Real Time Publish","Port is officialy registered by IANA for this application"
"","","","Subscribe) DDS User-Traffic",""
"7402","TCP","UDP","RTPS (Real Time Publish","Port is officialy registered by IANA for this application"
"","","","Subscribe) DDS Meta-Traffic",""
"7473","TCP","UDP","Rise: The Vieneo Province","Port is officialy registered by IANA for this application"
"7547","TCP","UDP","CPE WAN Management Protocol","Port is officialy registered by IANA for this application"
"","","","Technical Report 069",""
"7615","TCP","","ISL Online 69 communication protocol","Port is not officialy registered by IANA for this application"
"7670","TCP","","BrettspielWelt BSW Boardgame","Port is not officialy registered by IANA for this application"
"","","","Portal",""
"7676","TCP","","Aqumin AlphaVision Remote","Port is not officialy registered by IANA for this application"
"","","","Command Interface",""
"7700","","UDP","P2P DC (RedHub)","Port is not officialy registered by IANA for this application"
"7707","","UDP","Killing Floor","Port is not officialy registered by IANA for this application"
"7708","","UDP","Killing Floor","Port is not officialy registered by IANA for this application"
"7717","","UDP","Killing Floor","Port is not officialy registered by IANA for this application"
"7777","TCP","","iChat server file transfer proxy","Port is not officialy registered by IANA for this application"
"7777","TCP","","Oracle Cluster File System 2","Port is not officialy registered by IANA for this application"
"7777","TCP","","Windows backdoor program","Port is not officialy registered by IANA for this application"
"","","","tini.exe default",""
"7777","TCP","","Xivio.com Chat Server Interface","Port is not officialy registered by IANA for this application"
"7777","TCP","","Terraria default server","Port is not officialy registered by IANA for this application"
"7778","TCP","","Bad Trip MUD","Port is not officialy registered by IANA for this application"
"7777-7788","","UDP","Unreal Tournament series default","Port is not officialy registered by IANA for this application"
"","","","server",""
"7777-7788","TCP","","Unreal Tournament series default","Port is not officialy registered by IANA for this application"
"","","","server",""
"7787-7788","TCP","","GFI EventsManager 7 & 8","Port is officialy registered by IANA for this application"
"7831","TCP","","Default used by Smartlaunch","Port is not officialy registered by IANA for this application"
"","","","Internet Cafe Administration 70",""
"","","","software",""
"7880","TCP","UDP","PowerSchool Gradebook Server","Port is not officialy registered by IANA for this application"
"7915","TCP","","Default for YSFlight server 3","Port is not officialy registered by IANA for this application"
"7935","TCP","","Fixed port used for Adobe Flash","Port is not officialy registered by IANA for this application"
"","","","Debug Player to communicate with a debugger (Flash IDE, Flex Builder or fdb).",""
"","","","71",""
"7937-9936","TCP","UDP","EMC2 (Legato) Networker or Sun","Port is officialy registered by IANA for this application"
"","","","Solcitice Backup",""
"8000","","UDP","iRDMI (Intel Remote Desktop","Port is officialy registered by IANA for this application"
"","","","Management Interface) 72 ?sometimes erroneously used instead of port",""
"","","","8080",""
"8000","TCP","","iRDMI (Intel Remote Desktop","Port is officialy registered by IANA for this application"
"","","","Management Interface) 72 ?sometimes erroneously used instead of port",""
"","","","8080",""
"8000","TCP","","Commonly used for internet radio","Port is not officialy registered by IANA for this application"
"","","","streams such as those using SHOUTcast",""
"8001","TCP","","Commonly used for internet radio","Port is not officialy registered by IANA for this application"
"","","","streams such as those using SHOUTcast",""
"8002","TCP","","Cisco Systems Unified Call","Port is not officialy registered by IANA for this application"
"","","","Manager Intercluster",""
"8008","TCP","","HTTP Alternate","Port is officialy registered by IANA for this application"
"8008","TCP","","IBM HTTP Server administration","Port is not officialy registered by IANA for this application"
"","","","default",""
"8009","TCP","","ajp13?Apache JServ","Port is not officialy registered by IANA for this application"
"","","","Protocol AJP Connector",""
"8010","TCP","","XMPP File transfers","Port is not officialy registered by IANA for this application"
"8011-8013","TCP","","HTTP/TCP Symon Communications","Port is not officialy registered by IANA for this application"
"","","","Event and Query Engine",""
"8014","TCP","","HTTP/TCP Symon Communications","Port is not officialy registered by IANA for this application"
"","","","Event and Query Engine",""
"8014","","UDP","Perseus SDR Receiver default","Port is not officialy registered by IANA for this application"
"","","","remote connection port",""
"8020","TCP","","360Works SuperContainer","Port is not officialy registered by IANA for this application"
"8074","TCP","","Gadu-Gadu","Port is not officialy registered by IANA for this application"
"8075","TCP","","Killing Floor","Port is not officialy registered by IANA for this application"
"8078","TCP","UDP","Default port for most Endless","Port is not officialy registered by IANA for this application"
"","","","Online-based servers",""
"8080","TCP","","HTTP alternate","Port is officialy registered by IANA for this application"
"","","","(http_alt)?commonly used for Web proxy and caching server, or for",""
"","","","running a Web server as a non-root user",""
"8080","TCP","","Apache Tomcat","Port is not officialy registered by IANA for this application"
"8080","","UDP","FilePhile Master/Relay","Port is not officialy registered by IANA for this application"
"8081","TCP","","HTTP alternate, VibeStreamer,","Port is not officialy registered by IANA for this application"
"","","","e.g. McAfee ePolicy Orchestrator (ePO)",""
"8086","TCP","","HELM Web Host Automation Windows","Port is not officialy registered by IANA for this application"
"","","","Control Panel",""
"8086","TCP","","Kaspersky AV Control Center","Port is not officialy registered by IANA for this application"
"8087","TCP","","Hosting Accelerator Control","Port is not officialy registered by IANA for this application"
"","","","Panel",""
"8087","TCP","","Parallels Plesk Control Panel","Port is not officialy registered by IANA for this application"
"8087","","UDP","Kaspersky AV Control Center","Port is not officialy registered by IANA for this application"
